YEAR,SEX,CITIZENSHIP_CATEGORY,VALUE
1950,T,T,4717200
1951,T,T,4778900
1952,T,T,4844100
1953,T,T,4907000
1954,T,T,4970300
1955,T,T,5033700
1956,T,T,5097400
1957,T,T,5162800
1958,T,T,5230000
1959,T,T,5295500
1960,T,T,5360153
1961,T,T,5508435
1962,T,T,5639195
1963,T,T,5749299
1964,T,T,5829156
1965,T,T,5883788
1966,T,T,5952216
1967,T,T,6031353
1968,T,T,6104074
1969,T,T,6168700
1970,T,T,6193064
1971,T,T,6233744
1972,T,T,6288168
1973,T,T,6326525
1974,T,T,6356285
1975,T,T,6320978
1976,T,T,6284029
1977,T,T,6278319
1978,T,T,6285156
1979,T,T,6303573
1980,T,T,6335243
1981,T,T,6372904
1982,T,T,6409713
1983,T,T,6427833
1984,T,T,6455896
1985,T,T,6484834
1986,T,T,6523413
1987,T,T,6566799
1988,T,T,6619973
1989,T,T,6673850
1990,T,T,6750693
1991,T,T,6842768
1992,T,T,6907959
1993,T,T,6968570
1994,T,T,7019019
1995,T,T,7062354
1996,T,T,7081346
1997,T,T,7096465
1998,T,T,7123537
1999,T,T,7164444
2000,T,T,7204055
2001,T,T,7255653
2002,T,T,7313853
2003,T,T,7364148
2004,T,T,7415102
2005,T,T,7459128
2006,T,T,7508739
2007,T,T,7593494
2008,T,T,7701856
2009,T,T,7785806
2010,T,T,7870134
2011,T,T,7954662
2012,T,T,8039060
2013,T,T,8139631
2014,T,T,8237666
2015,T,T,8327126
2016,T,T,8419550
2017,T,T,8484130
2018,T,T,8544527
2019,T,T,8606033
2020,T,T,8670300
2021,T,T,8738791
2022,T,T,8815385
2023,T,T,8962258
1950,M,T,2273200
1951,M,T,2304500
1952,M,T,2337400
1953,M,T,2369100
1954,M,T,2401000
1955,M,T,2433100
1956,M,T,2465600
1957,M,T,2498400
1958,M,T,2532300
1959,M,T,2565100
1960,M,T,2597198
1961,M,T,2672561
1962,M,T,2740094
1963,M,T,2797025
1964,M,T,2838367
1965,M,T,2867046
1966,M,T,2902660
1967,M,T,2943508
1968,M,T,2980991
1969,M,T,3013995
1970,M,T,3025330
1971,M,T,3045356
1972,M,T,3070840
1973,M,T,3086951
1974,M,T,3099698
1975,M,T,3079816
1976,M,T,3059865
1977,M,T,3055365
1978,M,T,3057531
1979,M,T,3066235
1980,M,T,3081965
1981,M,T,3101817
1982,M,T,3121033
1983,M,T,3130360
1984,M,T,3145258
1985,M,T,3160381
1986,M,T,3179911
1987,M,T,3201854
1988,M,T,3228921
1989,M,T,3257537
1990,M,T,3298312
1991,M,T,3341665
1992,M,T,3373916
1993,M,T,3403863
1994,M,T,3428368
1995,M,T,3448842
1996,M,T,3457621
1997,M,T,3465243
1998,M,T,3478689
1999,M,T,3500708
2000,M,T,3519698
2001,M,T,3544349
2002,M,T,3575029
2003,M,T,3601539
2004,M,T,3628696
2005,M,T,3652502
2006,M,T,3679359
2007,M,T,3727014
2008,M,T,3786675
2009,M,T,3830566
2010,M,T,3877426
2011,M,T,3922253
2012,M,T,3968524
2013,M,T,4022091
2014,M,T,4073880
2015,M,T,4121471
2016,M,T,4173437
2017,M,T,4206434
2018,M,T,4237121
2019,M,T,4268863
2020,M,T,4302599
2021,M,T,4338203
2022,M,T,4379953
2023,M,T,4451532
1950,F,T,2444000
1951,F,T,2474400
1952,F,T,2506700
1953,F,T,2537900
1954,F,T,2569300
1955,F,T,2600600
1956,F,T,2631800
1957,F,T,2664400
1958,F,T,2697700
1959,F,T,2730400
1960,F,T,2762955
1961,F,T,2835874
1962,F,T,2899101
1963,F,T,2952274
1964,F,T,2990789
1965,F,T,3016742
1966,F,T,3049556
1967,F,T,3087845
1968,F,T,3123083
